,date,open,close,min,max,bullish
461,20020409.0,5257.5,5197.0,5193.0,5268.0,0
462,20020410.0,5186.5,5300.0,5173.0,5313.5,1
463,20020411.0,5305.0,5217.5,5196.0,5325.5,0
464,20020412.0,5216.0,5211.5,5183.0,5248.0,0
465,20020415.0,5225.0,5263.0,5200.0,5273.5,0
466,20020416.0,5288.0,5367.0,5288.0,5375.0,1
467,20020417.0,5400.0,5347.5,5345.0,5410.5,0
468,20020418.0,5351.5,5287.5,5229.0,5407.5,0
469,20020419.0,5280.0,5308.0,5254.0,5325.0,1
470,20020422.0,5309.5,5249.0,5204.5,5309.5,0
471,20020423.0,5276.0,5223.0,5177.5,5278.0,0
472,20020424.0,5222.0,5193.0,5174.5,5250.5,0
